Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Material de decoración (product.metafields.shopify.decoration-material),Formato de papel (product.metafields.shopify.paper-format),Tamaño de papel (product.metafields.shopify.paper-size),Características de la planta (product.metafields.shopify.plant-characteristics),Forma (product.metafields.shopify.shape),Espacio adecuado (product.metafields.shopify.suitable-space),Luz solar (product.metafields.shopify.sunlight),Forma de jarrón (product.metafields.shopify.vase-shape),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
paradiso,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_7076.heic?v=1714084486,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campana-blanco-y-verde,Campana blanco y verde,"<p data-mce-fragment=""1""><em data-mce-fragment=""1"">Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido</em><br data-mce-fragment=""1""><br data-mce-fragment=""1"">Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes ""regar"" las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas.</p>
<p data-mce-fragment=""1""><span style=""color: #b3b3b3;"" data-mce-fragment=""1"">* El arreglo de las fotos es de tamaño '55 x 40 cms' / El envío no está incluido en este precio</span></p>",Las Lira,Uncategorized,Flores,"",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,84000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_7059.heic?v=1714084770,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
copon,Copón,"<p data-mce-fragment=""1""><em data-mce-fragment=""1"">Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido</em><br data-mce-fragment=""1""><br data-mce-fragment=""1"">Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes ""regar"" las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas.</p>
<p data-mce-fragment=""1""><span style=""color: #b3b3b3;"" data-mce-fragment=""1"">* El arreglo de las fotos es de tamaño '70 x 70 cms' / El envío no está incluido en este precio</span></p>",Las Lira,Home & Garden > Plants > Flowers,Flores,Arreglos,false,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,180000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_6807.heic?v=1714083720,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,draft
copon,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_6808.heic?v=1714083719,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florero-book,Florero Book,"<p style=""text-align: left;"">Florero transparente en forma de libro, material acrílico.</p>
<p style=""text-align: left;"">Puedes usarlo con varias flores o simplemente ponerle una vara, de todas formas se ve elegante y lindo. Su tamaño es perfecto para darle un toque especial a cualquier rincón de tu casa, no ocupa mucho espacio y luce mucho.</p>
<p style=""text-align: center;""><span style=""color: #b3b3b3;"">* El florero no incluye flores y mide '20 x 15 x 4 cms'</span><br></p>",Las Lira,,Florero,Decoración,true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,25000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_6353.png?v=1714058156,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
florero-book,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/libro2.png?v=1714058156,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florero-book,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/livre.jpg?v=1714058022,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
florero-libro-tulipanes,Florero book + Tulipanes,"<p>¡Seguro sorprenderás con este regalo! El florero es hecho en acrílico y va acompañado de 12 varas de tulipanes aproximadamente.</p>
<p data-mce-fragment=""1"">Los tulipanes son flores que curiosamente aún después de ser cortadas siguen creciendo. Así es, su tallo se continúa desarrollando post corte, por lo que probablemente tu arreglo irá cambiando de forma. A nosotras nos gusta ese cambio, pero si ese no fuera tu caso, siempre puedes cortarles un poco su tallo y aprovechar de cambiarles el agua. ¡Ojo que son muy sedientas! Mantenlas siempre hidratadas, no las dejes en lugares calurosos y evita la luz directa del sol ;)</p>
<p> </p>
<p data-mce-fragment=""1"" style=""text-align: center;""><span data-mce-fragment=""1"" style=""color: #b3b3b3;"">* El envío no está incluido en este precio</span></p>",Las Lira,Uncategorized,"","",false,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,43000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_5301.heic?v=1707860347,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,draft
amaryllis-box,Amaryllis box,"<p>Esta es una muy buena opción para quienes quieran gastar menos. Además es un regalo que perdura en el tiempo, ya que florece todos los años si pasas el bulbo a tierra o a un macetero con drenaje <meta charset=""utf-8""><span data-mce-fragment=""1"">(con un hoyo). <meta charset=""utf-8"">Para una mejor duración debes mantenerlos en lugares frescos -nunca con luz directa o cerca de una fuente de calor- y el riego depende de la humedad de la tierra. ¡Disfruta del espectáculo!</span></p>
<p style=""text-align: center;""><span style=""color: #b3b3b3;"" data-mce-fragment=""1"">*Viene 1 bulbo en macetero plástico; puedes traspasarlo a un florero mientras dure su floración o simplemente sobreponerlo en algún recipiente. La presentación es igual a la foto</span></p>",Las Lira,Uncategorized,"",Bulbos,false,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,18000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_5257.heic?v=1707773456,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,draft
amaryllis-box,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_5265.heic?v=1707773456,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tulipanes-x-25,Tulipanes x 25,"<meta charset=""utf-8"">
<p data-mce-fragment=""1"">Los tulipanes son flores que curiosamente aún después de ser cortadas siguen creciendo. Así es, su tallo se continúa desarrollando post corte, por lo que probablemente tu arreglo irá cambiando de forma. A nosotras nos gusta ese cambio, pero si ese no fuera tu caso, siempre puedes cortarles un poco su tallo y aprovechar de cambiarles el agua. ¡Ojo que son muy sedientas! Mantenlas siempre hidratadas, no las dejes en lugares calurosos y evita la luz directa del sol ;)</p>
<p style=""text-align: center;"" data-mce-fragment=""1""><meta charset=""utf-8""><span style=""color: #808080;"" data-mce-fragment=""1"">* El arreglo de las fotos lleva 25 varas, consulta las opciones de colores disponibles / El envío no está incluido en este precio</span></p>",Las Lira,Uncategorized,"","",false,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,57000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_5250.heic?v=1707771519,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,draft
tulipanes-x-25,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_5251.heic?v=1707771520,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tulipanes-x-25,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_5253.heic?v=1707771520,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corazon-de-rosas,Corazón de rosas,"<p>Un arreglo que no necesita más palabras. <meta charset=""utf-8""><span data-mce-fragment=""1"">¿Cómo cuidarlo? Simple: mantener en lugares frescos, sin sol directo y bien hidratadas. Preocúpate de mantenerlo siempre hidratado, proporcionándole agua con una regadera directamente al OASIS <meta charset=""utf-8"">(material en donde se acomodan las flores).</span></p>
<p style=""text-align: center;""><span style=""color: #b3b3b3;""> <em>* El arreglo de las fotos es de tamaño '<meta charset=""utf-8"">35 x 35 x 13 cms' / El envío no está incluido en este precio</em></span></p>",Las Lira,Uncategorized,"","",false,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,80000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_5226.heic?v=1707768860,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,draft
corazon-de-rosas,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_5185.heic?v=1707768860,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corazon-de-rosas,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_5241.heic?v=1707768640,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bandeja-de-rosas-valentin,Bandeja Red,"<meta charset=""utf-8"">
<p data-mce-fragment=""1"">Las rosas son flores super resistentes que pueden llegar a durar hasta 15 días dependiendo de su variedad y de los cuidados que le proporcionemos. ¿Cómo cuidarla? Simple: mantener en lugares frescos, sin sol directo y bien hidratadas. Fíjate de que su florero tenga siempre agua al menos hasta la mitad, y cuando debas rellenarlo no lo hagas por sobre la flor, éstas no deben ser ""regadas"" ni rociadas, hazlo por un espacio que vaya directamente al OASIS (material en donde se acomodan las flores).</p>
<p style=""text-align: center;"" data-mce-fragment=""1""><meta charset=""utf-8""><em><span style=""color: #b3b3b3;""> * El arreglo de las fotos es de tamaño '18 x 30 x 30 cms' / El envío no está incluido en este precio </span></em></p>",Las Lira,Uncategorized,"","",false,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,85000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/bandejaroja.png?v=1706895560,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,draft
producto-de-prueba,producto de prueba,"",Las Lira,,"","",true,Title,Default Title,,,,,,,,"",0.0,,deny,manual,0,,false,false,"",,,,false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
multiflora,Multiflora,"<meta charset=""utf-8"">
<p class=""p1"" data-mce-fragment=""1"">Las orquídeas deben recibir mucha luz, pero igual que en la naturaleza, debe ser de manera indirecta para evitar quemaduras solares. La planta debe ser regada solo una vez que el musgo se encuentre seco (cada 10 - 15 días dependiendo de su humedad). En caso de que haya un exceso en el riego, es importante retirar el agua sobrante. En invierno es recomendable regar entre 11 y 14 hrs. Si la temperatura es menor a 15ºC, es mejor no regar. Por otra parte, otro consejo importante para mantener a las orquídeas sanas es utilizar un recipiente transparente, de forma que sus raíces también reciban la luz solar y puedan llevar a cabo la fotosíntesis.</p>
<p class=""p1"" data-mce-fragment=""1"">La floración es una vez al año y puede durar entre 2 a 4 meses. Una vez que todas sus flores se sequen, debes cortar los tallos justo por debajo de ellas, ya que esos serán los brotes del próximo año.</p>
<p class=""p1"" data-mce-fragment=""1""><em>Tip: Si tienes sustrato especial para orquídeas sugerimos (una vez que haya acabado su floración) abonarle unas gotitas cada dos semanas ;)</em></p>",Las Lira,,"",orquideas,false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,65000,,true,false,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_7924.heic?v=1692035735,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,draft
multiflora,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_7918.heic?v=1692035735,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copia-de-boina-2l-premium,Boina 2L premium,"<meta charset=""utf-8"">
<p class=""p1"" data-mce-fragment=""1"">Las orquídeas deben recibir mucha luz, pero igual que en la naturaleza, debe ser de manera indirecta para evitar quemaduras solares. La planta debe ser regada solo una vez que el musgo se encuentre seco (cada 10 - 15 días dependiendo de su humedad). En caso de que haya un exceso en el riego, es importante retirar el agua sobrante. En invierno es recomendable regar entre 11 y 14 hrs. Si la temperatura es menor a 15ºC, es mejor no regar. Por otra parte, otro consejo importante para mantener a las orquídeas sanas es utilizar un recipiente transparente, de forma que sus raíces también reciban la luz solar y puedan llevar a cabo la fotosíntesis.</p>
<p class=""p1"" data-mce-fragment=""1"">La floración es una vez al año y puede durar entre 2 a 4 meses. Una vez que todas sus flores se sequen, debes cortar los tallos justo por debajo de ellas, ya que esos serán los brotes del próximo año.</p>
<p class=""p1"" data-mce-fragment=""1""><em>Tip: Si tienes sustrato especial para orquídeas sugerimos (una vez que haya acabado su floración) abonarle unas gotitas cada dos semanas ;)</em></p>",Las Lira,,"",orquideas,true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,160000,,true,false,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_7719.heic?v=1691515561,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
boina-3l-premium,Boina 3L premium,"<meta charset=""utf-8"">
<p class=""p1"" data-mce-fragment=""1"">Las orquídeas deben recibir mucha luz, pero igual que en la naturaleza, debe ser de manera indirecta para evitar quemaduras solares. La planta debe ser regada solo una vez que el musgo se encuentre seco (cada 10 - 15 días dependiendo de su humedad). En caso de que haya un exceso en el riego, es importante retirar el agua sobrante. En invierno es recomendable regar entre 11 y 14 hrs. Si la temperatura es menor a 15ºC, es mejor no regar. Por otra parte, otro consejo importante para mantener a las orquídeas sanas es utilizar un recipiente transparente, de forma que sus raíces también reciban la luz solar y puedan llevar a cabo la fotosíntesis.</p>
<p class=""p1"" data-mce-fragment=""1"">La floración es una vez al año y puede durar entre 2 a 4 meses. Una vez que todas sus flores se sequen, debes cortar los tallos justo por debajo de ellas, ya que esos serán los brotes del próximo año.</p>
<p class=""p1"" data-mce-fragment=""1""><em>Tip: Si tienes sustrato especial para orquídeas sugerimos (una vez que haya acabado su floración) abonarle unas gotitas cada dos semanas ;)</em></p>",Las Lira,,"",orquideas,true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,195000,,true,false,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_7717.heic?v=1691515437,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
boina-3l-premium,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_77172.heic?v=1691515496,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pie-de-urna,Pie de Urna en blancos,"<p><meta charset=""utf-8""><em>Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido</em><br><br>Arreglo de condolencias de medio ruedo en tonos blancos. <br>Base en canasto con fin de ser fácil de mover y transportar. Tenemos 3 tamaños disponibles.<br></p>
<p style=""text-align: center;""><meta charset=""utf-8""><span style=""color: #b3b3b3;"">* El arreglo de las fotos es tamaño L: '75 x 80 cms' / El envío no está incluido en este precio</span></p>",Las Lira,Uncategorized,"",Funerales,true,Tamaño,S (55 x 60 cms),,,,,,,,"",0.0,shopify,deny,manual,80000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/f1.jpg?v=1688073474,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
pie-de-urna,,,,,,,,,M (65 x 70 cms),,,,,,,,"",0.0,shopify,deny,manual,100000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/f2.jpg?v=1688073474,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pie-de-urna,,,,,,,,,L (75 x 80 cms),,,,,,,,"",0.0,shopify,deny,manual,150000,,true,false,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pie-de-urna,,,,,,,,,XL (85 x 90 cms),,,,,,,,"",0.0,shopify,deny,manual,190000,,true,false,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
liliums-en-frutera,Liliums en frutera,"<p>Regalar flores en planta se está convirtiendo en una muy buena opción para regalar debido a tener una vida útil más larga. Después de su floración se deben trasplantar a tierra para que drene el agua y el próximo año vuelvan a florecer. </p>
<p style=""text-align: center;""><meta charset=""utf-8""><span style=""color: #808080;"">* El arreglo de las fotos es de tamaño '50 x 25 cms' / El envío no está incluido en este precio</span></p>",Las Lira,,"","",false,Color,Amarillo,,,,,,,,"",0.0,shopify,deny,manual,38000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/IMG_4902.jpg?v=1683753155,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,draft
liliums-en-frutera,,,,,,,,,Naranjo,,,,,,,,"",0.0,shopify,deny,manual,38000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/amari.jpg?v=1683753155,2,"",,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/products/naranja.jpg?v=1683753232,kg,,,
liliums-en-frutera,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/products/naranja.jpg?v=1683753232,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paila-griega,Paila griega,"<p> </p>
<p><em data-mce-fragment=""1"">Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido</em><br><br>Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes ""regar"" ni rociar las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que queden se verán más frescas.</p>
<p style=""text-align: center;""><span style=""color: #b3b3b3;""><meta charset=""utf-8""> <span>* El arreglo </span><span>de las fotos es de</span><span> tamaño L '45 x 55 cms' / El envío no está incluido en este precio</span></span></p>",Las Lira,Home & Garden > Plants > Flowers,"",Arreglos,true,Tamaño,S 35 X 40,,,,,,,,,0.0,shopify,deny,manual,95000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/griego2.jpg?v=1683752012,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
paila-griega,,,,,,,,,M 40 x 50,,,,,,,,"",0.0,shopify,deny,manual,110000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/griego1.jpg?v=1683752012,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
paila-griega,,,,,,,,,L 45 x 55,,,,,,,,"",0.0,shopify,deny,manual,140000,,true,false,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-bloom,Pink Bloom,"<meta charset=""utf-8"">
<p>Simple y elegante, con este arreglo te vas a la segura. El lilium es una flor que podríamos decir tiene muy buena duración, siempre les viene bien sacarlas por la noche para tomar aire fresco. Fíjate de tenerlas bien hidratas, no necesariamente debes llenar el florero con agua pero que sus tallos siempre estén en contacto con el agua.</p>
<p style=""text-align: center;""><meta charset=""utf-8""><span style=""color: #808080;"">* El arreglo de las fotos es de tamaño '90 x 60 cms' / El envío no está incluido en este precio</span></p>",Las Lira,,"","",false,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,60000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/pink.jpg?v=1683751212,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,draft
jacintos-pecera,Pecera Jacintos,"<meta charset=""utf-8"">
<p><span data-mce-fragment=""1"">Este arreglo NO es hecho con flores de corte, sino que con bulbos, los cuales pasados su floración debes trasplantarlos a tierra y así podrán florecer cada año si quedan en un lugar óptimo para su desarrollo. Para su mejor duración debes mantenerlos en lugares frescos -nunca con luz directa o cerca de una fuente de calor- y el riego depende de la humedad de la tierra. ¡Disfruta del exquisito olor de los jacintos! </span></p>
<p style=""text-align: center;"" data-mce-fragment=""1""><span style=""color: #b3b3b3;"" data-mce-fragment=""1"">* El arreglo de las fotos es de tamaño '30 x 25 cms' / El envío no está incluido en este precio</span></p>",Las Lira,,"","",false,Color,Azul,,,,,,,,"",0.0,shopify,deny,manual,22000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/jacintos.jpg?v=1683580697,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,draft
jacintos-pecera,,,,,,,,,Blanco,,,,,,,,"",0.0,shopify,deny,manual,22000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/products/azul.jpg?v=1683750450,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
jacintos-pecera,,,,,,,,,Rosado,,,,,,,,"",0.0,shopify,deny,manual,22000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/products/blanco.jpg?v=1683750466,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
jacintos-pecera,,,,,,,,,Amarillo,,,,,,,,"",0.0,shopify,deny,manual,22000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/products/rosado.jpg?v=1683750478,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
jacintos-pecera,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/products/ama.jpg?v=1683750492,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amaryllis-blue-wax,Amaryllis BLUE WAX,"<meta charset=""utf-8"">
<p>Esta versión de amaryllis es la solución para aquellos que no tienen ""dedos verdes"". ¡No hace falta riego! Así es, este recubrimiento en cera permite que el bulbo se nutra y guarde la humedad necesaria para poder florecer, así es que sólo debes disfrutar del espectáculo :)</p>
<p style=""text-align: center;""><span style=""color: #b3b3b3;"">* BLUE WAX es porque su cera es plateada, pero puedes elegir que el color de tu flor sea blanca o roja </span></p>",Las Lira,,"","",false,Color,Flor roja,,,,,,,,"",0.0,shopify,deny,manual,19000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/blue.jpg?v=1683579906,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,draft
amaryllis-blue-wax,,,,,,,,,Flor blanca,,,,,,,,"",0.0,shopify,deny,manual,19000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/blue2.jpg?v=1683579906,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
amarylis-silver-wax,Amaryllis SILVER WAX,"<meta charset=""utf-8"">
<p>Esta versión de amaryllis es la solución para aquellos que no tienen ""dedos verdes"". ¡No hace falta riego! Así es, este recubrimiento en cera permite que el bulbo se nutra y guarde la humedad necesaria para poder florecer, así es que sólo debes disfrutar del espectáculo :)</p>
<p style=""text-align: center;""><span style=""color: #b3b3b3;"">* SILVER WAX es porque su cera es plateada, pero puedes elegir que el color de tu flor sea blanca o roja </span></p>",Las Lira,,"","",false,Color,Flor blanca,,,,,,,,"",0.0,shopify,deny,manual,19000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/silver1.jpg?v=1683578795,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/products/blanca.jpg?v=1683579181,kg,,,draft
amarylis-silver-wax,,,,,,,,,Flor roja,,,,,,,,"",0.0,shopify,deny,manual,19000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/silver2.jpg?v=1683578795,2,"",,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/products/roja.jpg?v=1683579017,kg,,,
amarylis-silver-wax,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/products/roja.jpg?v=1683579017,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amarylis-silver-wax,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/products/blanca.jpg?v=1683579181,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calas,Calas Velón 14,"<p>Regalar plantas para muchos es una gran opción, sobre todo para aquellos que priorizan la durabilidad de las flores. Una vez pasada su floración debes traspasar los bulbos a ""tierra firme"" debido que esta presentación no tiene drenaje.</p>
<p style=""text-align: center;""><span style=""color: #808080;""><em data-mce-fragment=""1"">* El arreglo de las fotos es de tamaño '40 x 14 cms' / El envío no está incluido en este precio</em></span><br></p>",Las Lira,,"","",false,Color,Amarilla,,,,,,,,"",0.0,shopify,deny,manual,35000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/calas3.jpg?v=1683577717,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/cala3.jpg?v=1683577717,kg,,,draft
calas,,,,,,,,,Naranja,,,,,,,,"",0.0,shopify,deny,manual,35000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/calas.jpg?v=1683577717,2,"",,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/cala2.jpg?v=1683577717,kg,,,
calas,,,,,,,,,Roja,,,,,,,,"",0.0,shopify,deny,manual,35000,,true,false,"",https://cdn.shopify.com/s/files/1/0576/8717/9448/files/cala1.jpg?v=1683577717,3,"",,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/cala1.jpg?v=1683577717,kg,,,
calas,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/cala3.jpg?v=1683577717,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calas,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0576/8717/9448/files/cala2.jpg?v=1683577717,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
